TYPE,NAME,CONTEXT,LANGUAGE,FILE,LINE NUMBER,SPLIT IDENTIFIER,GRAMMAR PATTERN
int*,gui_line_has_tag_no_filter,FUNCTION,C,cloned_repositories/weechat.git/src/gui/gui-line.c,734,gui line has tag no filter,PRE PRE V N DT N
ProjResult,result2,DECLARATION,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/resultSet/impl/ProjectionFilter.java,311,result 2,N D
void,onTick,FUNCTION,Java,drill.git/drill-yarn/src/main/java/org/apache/drill/yarn/appMaster/Dispatcher.java,167,on Tick,P N
Point3,row2,DECLARATION,C++,cloned_repositories/panda3d.git/pandatool/src/maxegg/maxToEggConverter.cxx,451,row 2,N D
String,nextFieldName,FUNCTION,Java,cloned_repositories/immutables.git/criteria/mongo/src/org/immutables/criteria/mongo/bson4jackson/BsonParser.java,118,next Field Name,DT NM N
long,offBits,PARAMETER,C++,cloned_repositories/panda3d.git/panda/src/pnmimagetypes/pnmFileTypeBMPReader.cxx,400,off Bits,NM NPL
long,arg29,PARAMETER,Java,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-backend-impls/nd4j-native/src/main/java/org/nd4j/linalg/cpu/nativecpu/OpenblasLapackDelegator.java,11856,arg 29,N D
boolean,ifPresent,PARAMETER,Java,cloned_repositories/immutables.git/value-processor/src/org/immutables/value/processor/meta/AnnotationInjections.java,202,if Present,CJ NM
int,as_binary,ATTRIBUTE,C,cloned_repositories/rigraph.git/src/vendor/cigraph/vendor/glpk/mpl/mpl.h,244,as binary,P N
void,init2,FUNCTION,C++,cloned_repositories/toggldesktop.git/third_party/poco/Net/src/RawSocketImpl.cpp,63,init 2,N D
class,AbstractSV2Copier,CLASS,Java,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/svremover/AbstractSV2Copier.java,64,Abstract SV 2 Copier,NM N D N
void,onServerEgressPaused,FUNCTION,C++,cloned_repositories/proxygen.git/proxygen/httpserver/samples/proxy/ProxyHandler.cpp,170,on Server Egress Paused,P NM N V
