repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl,
s3fs-fuse/s3fs-fuse,C++,0.95,3,1,0.151568,4,3.117647,1,11285,0.434066,1045,1,1,1,1,https://github.com/s3fs-fuse/s3fs-fuse.git
wireshark/wireshark,C,0.925764,15,1,0.115853,293.1566,0,1,3137126,0.042723,336,1,1,1,1,"""https://github.com/wireshark/wireshark.git"","
igniterealtime/Openfire,Java,0.965151,7,1,0.203249,51.36364,17.90909,1,637755,0.006126,698,1,1,1,1,"""https://github.com/igniterealtime/Openfire.git"","
google/guava,Java,0.970081,6,1,0.259838,42.5942,2.811594,1,271747,0.443037,7547,1,1,1,1,"""https://github.com/google/guava.git"","
irungentoo/toxcore,C,0.961538,14,1,0.231362,151.7619,21.61905,1,29992,0.226834,7724,1,1,1,1,"""https://github.com/irungentoo/toxcore.git"","
BVLC/caffe,C++,0.96648,8,1,0.200379,399.0555,125.3333,1,60414,0.697561,8528,1,1,1,1,"""https://github.com/BVLC/caffe.git"","
dropwizard/metrics,Java,1,18,1,0.170056,11.19444,8.027778,1,20351,0.436706,3783,1,1,1,1,"""https://github.com/dropwizard/metrics.git"","
facebook/proxygen,C++,0.92,11,1,0.193848,43.2,6.8,1,37761,0.382397,3669,1,1,1,1,"""https://github.com/facebook/proxygen.git"","
liuliu/ccv,C,0.899225,1,1,0.290646,15.84211,2.421053,1,145095,0.74297,5062,1,1,1,1,"""https://github.com/liuliu/ccv.git"","
deeplearning4j/deeplearning4j,Java,0.97891,4,1,0.329247,158.5,39.5,1,44705,0.070575,2046,1,1,1,1,"""https://github.com/deeplearning4j/deeplearning4j.git"","
ipkn/crow,C++,0.961538,2,1,0.06632,18.90909,4.818182,1,15902,0.586797,1970,1,1,1,1,"""https://github.com/ipkn/crow.git"","
toggl/toggldesktop,C,0.891704,2,1,0.198025,278.7692,94.53846,1,1308328,0.191924,393,1,1,1,1,"""https://github.com/toggl-open-source/toggldesktop.git"","
mgba-emu/mgba,C,0.883333,1,1,0.075408,202.6667,1.666667,1,49492,0.005612,383,1,1,1,1,"""https://github.com/mgba-emu/mgba.git"","
openvswitch/ovs,C,0.863708,16,1,0.179942,163.8571,2.714286,1,238251,0.049208,730,1,1,1,1,"""https://github.com/openvswitch/ovs.git"","
immutables/immutables,Java,0.936,1,1,0.227568,25.3,3.8,1,17944,0.108785,701,1,1,1,1,"""https://github.com/immutables/immutables.git"","
vgvassilev/cling,C++,0.942446,3,1,0.249892,68.33334,4,1,27689,0.01049,787,1,1,1,1,"""https://github.com/vgvassilev/cling.git"","
weechat/weechat,C,0.984375,1,1,0.148574,91.83334,31,1,169342,0.00154,629,1,1,1,1,"""https://github.com/weechat/weechat.git"","
cglib/cglib,Java,0.995025,5,1,0.227167,1.19084,0.251908,1,14236,0.256149,534,1,1,1,1,"""https://github.com/cglib/cglib.git"","
panda3d/panda3d,C++,0.884665,4,1,0.288335,12.64865,0.405405,1,784772,0.048701,359,1,1,1,1,"""https://github.com/panda3d/panda3d.git"""
igraph/rigraph,C,0.631579,1,1,0.472737,25.90323,2.16129,1,31386,0,75,1,1,1,1,https://github.com/igraph/rigraph.git
meta-toolkit/meta,C++,0.918919,2,1,0.326811,51.625,4.75,1,22881,0.071774,220,1,1,1,1,https://github.com/meta-toolkit/meta.git
igniterealtime/Spark,Java,0.974088,5,1,0.24547,1.29703,0.09901,1,131580,0.000314,170,1,1,1,1,https://github.com/igniterealtime/Spark.git
ropensci/git2r,C,0.933498,1,1,0.228484,84.75,9.666667,1,97805,0.061689,80,1,1,1,1,https://github.com/ropensci/git2r.git
freeminer/freeminer,C++,0.756863,9,1,0.164192,116.1936,5.870968,1,124765,0.037917,142,1,1,1,1,https://github.com/freeminer/freeminer.git
igniterealtime/Smack,Java,0.989749,5,1,0.401492,16.48214,0.357143,1,78237,0.144124,770,1,1,1,1,https://github.com/igniterealtime/Smack.git
naemon/naemon-core,C,0.933775,4,1,0.157896,40.11765,6.294118,1,51907,0.063615,69,1,1,1,1,https://github.com/naemon/naemon-core.git
facebook/ds2,C++,0.820513,1,1,0.117874,36.8,4,1,31935,0,114,1,1,1,1,https://github.com/fakeNetflix/facebook-repo-ds2.git
HubSpot/Singularity,Java,0.983333,6,1,0.026827,202.5625,29.75,1,42616,0.0648,500,1,1,1,1,https://github.com/HubSpot/Singularity.git
juniper/libxo,C,1,1,1,0.109833,116,4.125,1,23622,0.133587,62,1,1,1,1,https://github.com/Juniper/libxo.git
apache/drill,Java,0.992883,13,1,0.135757,63.5,0.166667,1,350409,0.136162,567,1,1,1,1,https://github.com/apache/drill.git
